Keyword,Weight,Keyword Translation
压力,0.0605088402923028,pressure
心灵,0.0440932044009433,soul
灵隐寺,0.0440826780294612,lingyin temple
雍和宫,0.0432540728950443,yonghe palace
躺平,0.0347595940377358,lying down
烧香拜佛,0.0316383520591043,burn incense and pray
社会,0.0306173298970447,society
现实,0.02788741584401,reality
大饼,0.0275320220129802,pie in the sky
历史,0.0272071622873153,history
精神,0.0268274558490156,spirit
佛祖,0.0262917725615799,buddha
神佛,0.0262546676456694,deity and buddha
景区,0.0256792753911479,scenic area
文化,0.0254509113171766,culture
门票,0.0254071029031507,ticket
桃花,0.0249452597844487,luck in love
佛系,0.0244584922769038,buddhism
人生,0.0217939059873516,life
方式,0.020738430156406,way
杭州,0.020249604430766,hangzhou
佛教,0.0202269904029188,buddhism
