Keyword,Pages,Weibo ID,Author name,Author gender,Follow Counts,Followers Counts,Posting Time,Repost Counts,Comment Counts,Like Counts,IP location province,IP location country,Contents
年轻人不上学不上进只上香,2,4.88E+15,西西弗小鸟,female,792,2179,2023/3/25 1:04,0,0,0,湖北,中国,#年轻人不上学不上进只上香# 今天写东西，写了武汉的寺庙。武汉最久远的两个寺庙，头陀寺（观音阁，刘宋时期），和报恩禅寺（梁），都是南朝（南朝四百八十寺，多少楼台烟雨中的那个南朝）修建的。多少还是和时代境遇有关，心里慌就拜拜佛。 
年轻人不上学不上进只上香,2,4.88E+15,zz想去海边_,female,243,35,2023/3/24 23:28,0,0,2,陕西,中国,#小M碎碎念##年轻人不上学不上进只上香#明天去寺庙里上香，今天洗澡的时候特意敷了一张面膜，抹了一个深水泡弹发膜，以示我出门的最高礼节（八百年没敷面膜了，深水泡弹也是我遇见十分有仪式感的事情时才会用一个，作为每次洗澡洗头的消耗品的话真的消费不起），沐浴焚香只为让佛渡一下我坚定的唯物主义者，但就是主打一个心诚则灵
年轻人不上学不上进只上香,2,4.88E+15,是可呢嘛,female,74,1,2023/3/24 13:12,0,0,0,河南,中国,今天上学最后一天，明天就不上了#不上学##年轻人不上学不上进只上香# 
年轻人不上学不上进只上香,2,4.88E+15,小梨星人,female,272,472,2023/3/23 18:38,0,0,1,广西,中国,#年轻人不上学不上进只上香##媒体批年轻人不上学不上进只上香# 随便了，阿弥陀佛 
年轻人不上学不上进只上香,2,4.88E+15,史实君,male,514,63.9万,2023/3/22 22:44,2,1,24,安徽,中国,网上说年轻人不上课，不上进，只上香。我想问：年轻人上了香怎么了？！年轻人有错？错在太有素质，太尊老了？才会落得天天被人爹味儿说教的下场。这几年我们这届年轻人简直太难了，你努力了，说你是小镇做题家，你躺平了，说你不能做咸鱼，你好不容易考上大学了，说你脱不下长衫，你生活困难，他建议你可以把多余的房子租出去嘛，你想退休，不好意思，得延迟，你想就业，不好意思，35岁就没有职业竞争力了。于是年轻人看卷也不是，躺也不是。心说我去烧个香吧，立马有人教育你，不上课，不上进，只上香，奋斗才是年轻人的底色呀！我不明白，重压之下，去烧个香，求个心理安慰，怎么就成了年轻人的罪过了呢？年轻人的生活已经这么苦了，还不能寻个精神寄托了，老一辈上香就是求个心安，年轻人上香就是不求上进。上个香不过是对美好生活的期许，不偷不抢怎么就让有些人不舒服了，难道上香就不能上课了？上进就不能上香了？是谁跟你说上香就不能上课上进了？依据是什么？理论是什么？无凭无据的推断，实属污蔑！有些人就非要把上进和上香二者对立起来，以此找点优越感，站在制高点去教育年轻人，这种水平还来教育年轻人？您自己重新接受教育吧。谁成天没事去上香啊？咱不过是在上课上进之余偶尔上次香。这就让您得出结论了，年轻人把希望寄托在神佛之上了，您这是意想还是意淫呢？他们从来不想年轻人为什么上香，为什么不脱长衫，而只对年轻人上香的行为发表他们固执过时的看法。年轻人上香的背后，是他们觉得通过奋斗能改变的越来越少，奋斗的目标越来越迷茫，自嘲，不上课去上香，不求人去求佛。不作为去做法是对压力的调侃，也是自我治愈的方式，作为长辈，你们应该看到的是当下年轻人的不容易，给年轻人创造一个大展拳脚的舞台，年轻人考研考中奔波找工作已经很难了，我们需要的是一些理解和支持，而不是无情的批评。我们需要的是鼓励和关怀，而不是冷漠和嘲讽。我们需要的是长辈的指点，而不是您的指指点点。以前总有人说90后不行了，00后废了，事实是一代更比一代强，上的课堂，进的庙堂，所以别老想着教年轻人做事，管好自己。晚安，同学们#年轻人上课上进与上香矛盾吗##媒体批年轻人不上学不上进只上香#
年轻人不上学不上进只上香,2,4.88E+15,三联生活周刊,male,851,2469.2万,2023/3/22 12:33,27,44,258,北京,中国,#年轻人上课上进与上香矛盾吗#【如何看待#媒体批年轻人不上学不上进只上香# 】近日，新京报快评批评年轻人“不上学不上进只上香”的文章网页链接引发争议。潮新闻评论称：年轻人到寺庙里烧个香，又被说成“不上课，不上进，只上香”，被批荒唐。这件事本身，才叫荒唐。“上香和上课、上进，从来就不是矛盾对立的关系。谁说上香的都是不上课、不上进的？既上课、也上进，同时偶尔也去上一次香的年轻人，有没有？哪一类年轻人占大多数？向年轻人学习，陪他们进步。这才是我们要做的事情，要打开的格局。未来可期，可期的就是这些上得了课堂，偶尔也上得了庙堂的年轻人。年轻人是我们的一面镜子，他们如果弱，肯定是我们自已的弱点太多，不要搞反了。 ”潮新闻的微博视频
年轻人不上学不上进只上香,2,4.88E+15,三联生活周刊,male,851,2469.2万,2023/3/21 20:22,288,282,4534,北京,中国,【新京报快评：#年轻人不上学不上进只上香# 】#媒体批年轻人不上学不上进只上香# 据新京报快评：如今一些年轻人格外偏爱寺庙游，到清幽禅静中去寻找心灵慰藉，将人生转机寄托于超自然力量，成为了一个引人关注的社会现象。有在线票务平台数据显示，今年以来，寺庙相关景区门票订单量同比增长 310%；2月以来预订门票的人群中，90后、00后占比接近 50%。相关监测数据也显示，2019年，“寺庙”在社交平台上还处于籍籍无名的状态，4年时间过去，而今的搜索量增长了368 倍。从数据看，原本是中老年人偏好场所的寺庙，如今确实在年轻人中也火了起来。在社交平台上，随处可见各大寺庙的种草笔记，以及关于“灵不灵”“准不准”之类的测评，年轻人似乎真的爱上香了。其中原因倒也好理解。如今年轻人也面临不小的压力，考研究生、找好工作、摆脱单身等。而压力之下，年轻人寻找一个释放压力、转移焦虑的渠道，选中了香火氤氲、庄严宝相的寺庙。但是，压力之下，一些年轻人如果真的把自己的生活希望寄托在神佛之上，这样的生活之路也显然走偏了。这在某种程度上也说明了求神拜佛的虚妄。如今许愿、祈祷几乎无所不在，除了实体寺庙，网络上还有“赛博许愿”，一段视频、一场直播都有无数人在许愿。且不说这么多愿望神佛能不能处理得过来，至少这些愿望本身很多就相互冲突——比如，一位考生祈祷考研上榜，则必然有另一位祈祷者要落榜，这种矛盾又该如何平衡呢？这也凸显了此一行为的现实荒唐性。因此，只要仔细想想就能知道，乞灵于神佛终究是靠不住的。把逛寺庙当作休闲放松，当作积极的心理慰藉，这当然没什么。但有的人如果入戏过深，把超自然力量当作了解答，而放弃了自身的努力、在现实世界的奋斗，恐怕就是捡了芝麻丢了西瓜，忽视了改变命运的真正关键——自己。年轻人不该“不上课不上进只上香”，奋斗才是青春的底色。
年轻人不上学不上进只上香,2,4.88E+15,_因为乌鸦像写字台_,female,85,28,2023/3/22 12:16,0,0,0,云南,中国,#媒体批年轻人不上学不上进只上香# 上进007猝死吗？上进讨好领导吗？ 
年轻人不上学不上进只上香,3,4.88E+15,小郭要一直有钱,female,315,57,2023/3/22 10:05,0,0,5,山东,中国,#年轻人不上学不上进只上香# 安得广厦千万间，广厦一千万一间 
年轻人不上学不上进只上香,3,4.88E+15,新鲁爷,male,299,144,2023/3/22 9:37,0,2,5,江苏,中国,#年轻人不上学不上进只上香#我是一名纯粹的无神论者，从小对这些只在心里充满敬畏，很少“付出行动”。 爸妈和邻居们遇到烦心事或者“无路可走”时才会这样，可能年轻人也到了这个人生阶段吧。 “我点高香敬神明，抵我心中意难平” 
